Place,Time,Latitude,Longitude,Magnitude,Depth
"West Kameng, Arunachal Pradesh",2024-03-11 00:58:19 IST,27.75, 92.44,2.8,5km
"Noney, Manipur",2024-03-10 23:35:05 IST,24.95, 93.64,2.3,5km
"Nagpur, Maharashtra",2024-03-10 15:15:00 IST,20.72, 79.26,2.7,5km
Ladakh,2024-03-10 12:53:50 IST,34.64, 77.16,3.0,5km
"South Garo Hills, Meghalaya",2024-03-10 11:50:04 IST,25.48, 90.70,2.8,10km
Myanmar,2024-03-10 08:14:28 IST,23.83, 96.11,3.2,14km
Myanmar,2024-03-10 07:46:44 IST,23.53, 94.02,3.8,100km
"Southern Xinjiang, China",2024-03-10 07:37:01 IST,36.10, 81.53,3.9,10km
Tajikistan,2024-03-09 22:35:16 IST,36.77, 71.68,3.9,180km
Xizang,2024-03-09 10:47:49 IST,31.93, 92.95,4.3,10km
"Leh, Ladakh",2024-03-09 07:27:57 IST,35.53, 77.30,3.1,10km
Nepal,2024-03-09 07:15:18 IST,28.00, 84.73,3.4,9km
"Qinghai, China",2024-03-09 05:58:51 IST,33.53, 93.26,3.8,110km
Tajikistan,2024-03-09 04:55:33 IST,37.40, 72.37,3.7,10km
China,2024-03-09 04:02:14 IST,37.78, 75.57,3.8,10km
Andaman Sea,2024-03-08 13:07:41 IST,11.35, 93.50,4.3,140km
Tajikistan,2024-03-08 11:20:38 IST,36.83, 71.83,3.9,210km
Myanmar,2024-03-08 04:28:28 IST,23.56, 93.92,3.9,45km
"Mangan, Sikkim",2024-03-08 00:18:33 IST,27.92, 88.29,2.4,10km
Myanmar,2024-03-07 21:17:45 IST,16.80, 94.64,4.2,40km
"Qinghai, China",2024-03-07 15:36:32 IST,33.73, 93.34,5.0,180km
Myanmar,2024-03-07 14:34:46 IST,25.05, 95.12,3.1,80km
"North Delhi, Delhi",2024-03-07 07:53:41 IST,28.73, 77.10,1.7,10km
"Cooch Behar, West Bengal",2024-03-07 07:32:38 IST,26.47, 89.32,3.4,5km
Afghanistan,2024-03-07 05:58:49 IST,36.43, 71.28,3.9,100km
Myanmar,2024-03-07 04:11:09 IST,23.11, 94.44,4.1,130km
Bangladesh,2024-03-07 03:41:55 IST,24.58, 91.47,3.0,5km
Myanmar,2024-03-07 03:34:27 IST,24.75, 95.23,3.2,10km
Myanmar,2024-03-07 02:23:42 IST,25.17, 96.18,3.6,10km
"Mamit , Mizoram",2024-03-07 01:11:14 IST,24.03, 92.59,2.4,5km
"Pithoragarh, Uttarakhand",2024-03-06 17:20:45 IST,30.38, 80.29,2.7,5km
"Sonbhadra, Uttar Pradesh",2024-03-06 14:19:59 IST,24.32, 83.07,3.3,5km
"Pithoragarh, Uttarakhand",2024-03-06 09:55:08 IST,30.41, 80.39,3.6,10km
"Mangan, Sikkim",2024-03-06 03:49:57 IST,27.95, 88.31,2.3,15km
"Biswanath, Assam",2024-03-06 00:44:03 IST,26.84, 93.04,2.4,10km
"East Garo Hills, Meghalaya",2024-03-05 19:29:59 IST,25.54, 90.74,2.8,5km
"Pithoragarh, Uttarakhand",2024-03-05 18:55:05 IST,30.44, 80.45,2.5,5km
"Balaghat, Madhya Pradesh",2024-03-05 16:21:05 IST,21.75, 80.62,2.7,10km
"West Garo Hills, Meghalaya",2024-03-05 16:04:09 IST,25.69, 90.18,2.8,5km
Myanmar,2024-03-05 14:12:07 IST,25.40, 96.46,3.3,20km
"Qinghai, China",2024-03-05 07:37:31 IST,33.68, 93.23,5.2,10km
"Mandi, Himachal Pradesh",2024-03-05 06:56:47 IST,31.57, 77.18,3.2,5km
"Doda, Jammu and Kashmir",2024-03-04 21:17:27 IST,33.04, 75.83,3.6,10km
"Doda, Jammu and Kashmir",2024-03-04 21:08:39 IST,33.02, 75.84,3.2,10km
Tajikistan,2024-03-04 20:38:37 IST,37.20, 71.99,4.0,10km
Myanmar,2024-03-04 19:41:14 IST,22.50, 94.56,3.8,130km
"Bidar, Karnataka",2024-03-04 19:40:02 IST,17.77, 77.02,2.3,6km
"Lahaul and Spiti, Himachal Pradesh",2024-03-04 13:28:17 IST,32.15, 77.67,3.2,5km
"East Khasi Hills, Meghalaya",2024-03-04 10:30:12 IST,25.61, 92.08,3.0,05km
"Chamoli, Uttarakhand",2024-03-04 06:05:10 IST,30.54, 79.75,2.1,12km
Xizang,2024-03-04 05:36:24 IST,34.06, 85.26,3.9,16km
"Northern Sumatra, Indonesia",2024-03-03 18:06:42 IST,3.44, 99.90,4.3,174km
Tajikistan,2024-03-03 12:35:39 IST,38.06, 74.19,4.5,120km
Pakistan,2024-03-03 11:33:17 IST,30.46, 70.53,4.2,10km
"Alipurduar, West Bengal",2024-03-03 03:41:49 IST,26.72, 89.61,2.4,10km
